[ 2012-12-16T15:03:09+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001489s ]
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001750s ]
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000411s ]
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000498s ]
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.015120s ]
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015197s ]
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000320s ]
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000332s ]
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000222s ]
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000403s ]
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001427s ]
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001420s ]
[ 2012-12-16T15:03:09+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001490s ]
[ 2012-12-16T15:03:19+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-16T15:03:19+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000605s ]
[ 2012-12-16T15:03:19+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000718s ]
[ 2012-12-16T15:03:20+08:00 ] / | NOTIC: [8] Memcache::connect() [<a href='function.Memcache-connect'>function.Memcache-connect</a>]: Server 127.0.0.1 (tcp 11211) failed with: ”…”⁄¡¨Ω”∑Ω‘⁄“ª∂Œ ±º‰∫Û√ª”–’˝»∑¥∏¥ªÚ¡¨Ω”µƒ÷˜ª˙√ª”–∑¥”¶£¨¡¨Ω”≥¢ ‘ ß∞‹°£
 (10060) CacheMemcache.class.php Á¨¨ 45 Ë°å.
