[ 2013-01-04T15:02:02+08:00 ] / | ERR: (ThinkException) SQLSTATE[42000] [1049] Unknown database 'caidan'
[ 2013-01-04T15:03:33+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T15:03:33+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003231s ]
[ 2013-01-04T15:03:33+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003351s ]
[ 2013-01-04T15:03:33+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-01-04T15:03:33+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.030821s ]
[ 2013-01-04T15:03:33+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.030922s ]
[ 2013-01-04T15:03:33+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-01-04T15:03:33+08:00 ] / | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for ../www/Runtime/temp\160f9cd63705b9e66936cd20cb41b6d9c4353857.file.header.html.php smarty_resource.php 第 720 行.
[ 2013-01-04T15:03:33+08:00 ] / | NOTIC: [2] unlink(../www/Runtime/temp\160f9cd63705b9e66936cd20cb41b6d9c4353857.file.header.html.php) [<a href='function.unlink'>function.unlink</a>]: No such file or directory smarty_internal_write_file.php 第 57 行.
[ 2013-01-04T15:03:33+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.363463s ]
[ 2013-01-04T15:03:33+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.363560s ]
[ 2013-01-04T15:03:33+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-01-04T15:03:33+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.010300s ]
[ 2013-01-04T15:03:33+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.025925s ]
[ 2013-01-04T15:03:33+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003101s ]
[ 2013-01-04T15:03:33+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.004054s ]
[ 2013-01-04T15:03:33+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.043649s ]
